odometer,year,state_encoded,odometer^2,odometer year,odometer state_encoded,year^2,year state_encoded,state_encoded^2,odometer^3,odometer^2 year,odometer^2 state_encoded,odometer year^2,odometer year state_encoded,odometer state_encoded^2,year^3,year^2 state_encoded,year state_encoded^2,state_encoded^3
84969.0,2015.0,21859.11013986014,7219730961.0,171212535.0,1857346729.473776,4060225.0,44046106.93181818,477820696.1065363,613453320025209.0,14547757886415.0,157816894256657.28,344993258025.0,3742553659889.6587,40599946727476.29,8181353375.0,88752905467.61363,962808702654.6707,10444735223297.418
150237.0,2011.0,15390.402037980546,22571156169.0,302126607.0,2312207830.9800835,4044121.0,30950098.498378877,236864474.89067575,3391022789362053.0,45390595055859.0,347379167902954.8,607576606677.0,4649849948100.947,35585808114150.45,8132727331.0,62240648080.23992,476334459005.1489,3645439497082.648
61781.0,2013.0,18227.32285115304,3816891961.0,124365153.0,1126102233.067086,4052169.0,36691600.899371065,332235298.32016575,235811402242541.0,7683403517493.0,69571722061117.64,250347052989.0,2266843795164.044,20525828965518.16,8157016197.0,73860192610.43396,668789655518.4937,6055760045030.805
194255.0,2001.0,17742.155897435896,37735005025.0,388704255.0,3446502493.85641,4004001.0,35502053.95076923,314784095.88891935,7330213401131375.0,75507745055025.0,669500341944076.9,777797214255.0,6896451490206.677,61148384546902.03,8012006001.0,71039609955.48923,629882975873.7277,5584948503294.617
32649.0,2015.0,17742.155897435896,1065957201.0,65787735.0,579263647.8953846,4060225.0,35750444.13333333,314784095.88891935,34802436655449.0,2147903760015.0,18912378840136.41,132562286025.0,1167216250509.2,10277385946677.328,8181353375.0,72037144928.66667,634289953216.1725,5584948503294.617
80884.0,2008.0,16050.705630791163,6542221456.0,162415072.0,1298245274.2409124,4032064.0,32229816.906628653,257625151.24631113,529161040247104.0,13136780683648.0,105007270761701.97,326129464576.0,2606876510675.752,20837752733406.63,8096384512.0,64717472348.51034,517311303702.5928,4135065465742.591
133098.0,2007.0,15377.78001387925,17715077604.0,267127686.0,2046751764.2873003,4028049.0,30863204.487855654,236476118.1552641,2357841398937192.0,35554160751228.0,272418566323111.1,536125265802.0,4107830790924.612,31474498374229.344,8084294343.0,61942451407.1263,474607569137.61505,3636477723527.7686
109000.0,2015.0,17007.169230769232,11881000000.0,219635000.0,1853781446.1538463,4060225.0,34269446.0,289243805.2440237,1295029000000000.0,23940215000000.0,202062177630769.25,442564525000.0,3735369614000.0,31527574771598.582,8181353375.0,69052933690.0,582826267566.7078,4919218344736.768
51498.0,2013.0,15377.78001387925,2652044004.0,103665474.0,791924915.1547536,4052169.0,30955471.16793893,236476118.1552641,136574962117992.0,5338564580052.0,40782549280639.5,208678599162.0,1594144854206.519,12178047132759.791,8157016197.0,62313363461.061066,476026425846.54663,3636477723527.7686
42744.0,2017.0,15468.9955654102,1827049536.0,86214648.0,661206746.4478936,4068289.0,31200964.05543237,239289823.80268043,78095405366784.0,3685158914112.0,28262621170168.766,173894945016.0,1333654007585.4014,10228204228621.771,8205738913.0,62932344499.80709,482647574610.0064,3701573223251.4517
